,,insert,search
10,1024,0.0003,0.017308
11,2048,0.000237,0.011045
12,4096,0.000445,0.008893
13,8192,0.000857,0.010561
14,16384,0.001599,0.011502
15,32768,0.003197,0.020071
16,65536,0.007975,0.01952
17,131072,0.018482,0.023547
18,262144,0.041766,0.029992
19,524288,0.090607,0.034005
20,1048576,0.189843,0.044268
21,2097152,0.406914,0.105179
22,4194304,0.860577,0.124039
23,8388608,1.76329,0.249032
24,16777216,3.60174,0.522759
25,33554432,7.05222,1.21786
26,67108864,14.5447,2.67684
27,134217728,29.1217,5.46695
