,,insert,search,level,總copy數,平均copy數
10,1024,0.000328,0.017306,8,938,0.916015625
11,2048,0.000836,0.016262,9,2033,0.99267578125
12,4096,0.001463,0.020001,10,4078,0.99560546875
13,8192,0.004161,0.028652,15,8113,0.9903564453125
14,16384,0.008499,0.028651,15,16212,0.989501953125
15,32768,0.014492,0.033266,15,32497,0.991729736328125
16,65536,0.034468,0.040487,15,65391,0.997787475585938
17,131072,0.07592,0.057752,16,129999,0.991813659667969
18,262144,0.200194,0.095802,16,262038,0.999595642089844
19,524288,0.505298,0.124565,21,524342,1.00010299682617
20,1048576,1.27299,0.15535,20,1047488,0.99896240234375
21,2097152,3.22225,0.16671,23,2096268,0.999578475952148
22,4194304,7.46378,0.207887,22,4189734,0.998910427093506
23,8388608,17.918,0.253445,24,8373332,0.998178958892822
24,16777216,44.3816,0.298353,25,16716195,0.996362864971161
25,33554432,96.6918,0.356871,26,33292525,0.992194563150406
26,67108864,233.64,0.420655,27,66061242,0.984389215707779
