,,insert,search
10,1024,0.000291,0.018345
11,2048,0.000373,0.012421
12,4096,0.000804,0.014127
13,8192,0.001863,0.021614
14,16384,0.004633,0.024099
15,32768,0.010185,0.029077
16,65536,0.024922,0.035026
17,131072,0.056061,0.048976
18,262144,0.139538,0.068324
19,524288,0.369843,0.0955
20,1048576,1.0702,0.137625
21,2097152,2.78635,0.152226
22,4194304,7.71772,0.285529
23,8388608,16.2177,0.19987
24,16777216,31.095,0.22207
25,33554432,73.8741,0.319489
26,67108864,186.71,0.33337
27,134217728,412.747,0.37127
